t_satb2,t_cdx2,t_ovidx,cell_line,SATB2_rna_z,CDX2_rna_z,PAX8_z,KRT7_z,ovarian_index,verdict_class,is_headline
1,1,0.5,VOA8771,0.8,3.64,-1.23,-0.98,-1.91,"GI-LEANING (Mullerian-low PAX8-/KRT7-, intestinal CDX2+)",FALSE
1,1.5,-0.5,TOV2414,0.17,0.21,0.28,2.58,1.26,"OVARIAN-COMPATIBLE expression (Mullerian-positive, not SATB2/CDX2-driven)",FALSE
1,1.5,-0.5,VOA8762,-0.59,2.52,-1.15,-1.55,-0.76,"GI-LEANING (Mullerian-low PAX8-/KRT7-, intestinal CDX2+)",FALSE
1,1.5,-0.5,VOA8771,0.8,3.64,-1.23,-0.98,-1.91,"GI-LEANING (Mullerian-low PAX8-/KRT7-, intestinal CDX2+)",FALSE
1,1.5,0,TOV2414,0.17,0.21,0.28,2.58,1.26,"OVARIAN-COMPATIBLE expression (Mullerian-positive, not SATB2/CDX2-driven)",FALSE
1,1.5,0,VOA8762,-0.59,2.52,-1.15,-1.55,-0.76,"GI-LEANING (Mullerian-low PAX8-/KRT7-, intestinal CDX2+)",FALSE
1,1.5,0,VOA8771,0.8,3.64,-1.23,-0.98,-1.91,"GI-LEANING (Mullerian-low PAX8-/KRT7-, intestinal CDX2+)",FALSE
1,1.5,0.5,TOV2414,0.17,0.21,0.28,2.58,1.26,"OVARIAN-COMPATIBLE expression (Mullerian-positive, not SATB2/CDX2-driven)",FALSE
1,1.5,0.5,VOA8762,-0.59,2.52,-1.15,-1.55,-0.76,"GI-LEANING (Mullerian-low PAX8-/KRT7-, intestinal CDX2+)",FALSE
1,1.5,0.5,VOA8771,0.8,3.64,-1.23,-0.98,-1.91,"GI-LEANING (Mullerian-low PAX8-/KRT7-, intestinal CDX2+)",FALSE
